window_idx,mid_date,mean_realized_vol,peak_realized_vol,mean_vix,peak_vix
35,2006-06-06,0.11585433052154326,0.19605499958009387,12.825515849249703,23.809999465942383
36,2006-07-06,0.11609769761352891,0.19605499958009387,12.804960296267556,23.809999465942383
37,2006-08-04,0.11421998974639684,0.19605499958009387,12.698095227044726,23.809999465942383
38,2006-09-05,0.11492082890228841,0.19605499958009387,12.72567458001394,23.809999465942383
39,2006-10-04,0.12092033104678572,0.19605499958009387,12.96007934449211,23.809999465942383
40,2006-11-02,0.12037443918664703,0.19605499958009387,13.036150773366293,23.809999465942383
41,2006-12-04,0.1190685603552159,0.19605499958009387,12.90230157261803,23.809999465942383
42,2007-01-05,0.11567969245285245,0.19527359742699169,12.767103157346211,19.6299991607666
43,2007-02-06,0.11321050940661272,0.21645358553779556,13.052976176852273,25.15999984741211
44,2007-03-08,0.12112404792556734,0.26168100850682374,14.063968223238748,30.82999992370605
45,2007-04-09,0.12934300316322686,0.26168100850682374,14.823690448488508,30.82999992370605
46,2007-05-08,0.133689255114866,0.26168100850682374,15.525555516046191,30.82999992370605
47,2007-06-07,0.1445332448645899,0.2671906531655886,16.760039651204668,31.09000015258789
48,2007-07-09,0.15591379959526497,0.2671906531655886,17.649087262532067,31.09000015258789
49,2007-08-07,0.16874952834524876,0.2805009352311387,18.929047592102535,31.09000015258789
50,2007-09-06,0.1791099797537642,0.2805009352311387,19.994722218740556,31.09000015258789
51,2007-10-05,0.18942140942056954,0.3317842562752251,20.98492063794817,32.2400016784668
52,2007-11-05,0.20110740586330242,0.3317842562752251,21.637380951926822,32.2400016784668
53,2007-12-05,0.20545461451890842,0.3317842562752251,22.0672221902817,32.2400016784668
54,2008-01-07,0.21121204701733035,0.3317842562752251,22.72238094087631,32.2400016784668
55,2008-02-06,0.22126683585519782,0.3317842562752251,23.14670633134388,32.2400016784668
56,2008-03-07,0.22335143533270807,0.3317842562752251,22.769285709138902,32.2400016784668
57,2008-04-08,0.23841106824437683,0.5646845253243991,23.760476172916473,46.720001220703125
58,2008-05-07,0.2880588099686533,0.8371564311274379,27.40428570338658,80.05999755859375
59,2008-06-06,0.3350504708697116,0.8989226311836833,30.540277745988632,80.86000061035156
60,2008-07-08,0.37640940042025756,0.8989226311836833,32.85674600752573,80.86000061035156
61,2008-08-06,0.3937798020945707,0.8989226311836833,34.43226187569754,80.86000061035156
62,2008-09-05,0.414522337495318,0.8989226311836833,36.214920573764374,80.86000061035156
63,2008-10-06,0.4382463047829807,0.8989226311836833,37.59388884287032,80.86000061035156
64,2008-11-04,0.4594633356236224,0.8989226311836833,38.92591263755919,80.86000061035156
65,2008-12-04,0.4780308450779158,0.8989226311836833,39.97634917970688,80.86000061035156
66,2009-01-06,0.48284754553393133,0.8989226311836833,40.451230132390585,80.86000061035156
67,2009-02-05,0.4812642673269049,0.8989226311836833,40.58920633225214,80.86000061035156
68,2009-03-09,0.4761295416809609,0.8989226311836833,41.01388888132004,80.86000061035156
69,2009-04-07,0.4603147928890224,0.8989226311836833,40.316785729120646,80.86000061035156
70,2009-05-07,0.41637271335810616,0.8989226311836833,37.05408732853238,80.86000061035156
71,2009-06-08,0.37109678708023136,0.8937586165710003,33.69654765204778,63.63999938964844
72,2009-07-08,0.3225245341351851,0.6253825746264632,31.32428574940515,56.650001525878906
73,2009-08-06,0.29740651570942817,0.6253825746264632,29.32730159305391,52.650001525878906
74,2009-09-04,0.27360776882250554,0.6253825746264632,27.19849208801512,49.68000030517578
75,2009-10-06,0.23442169672388813,0.5562940978454789,25.075873019203307,40.38999938964844
76,2009-11-04,0.20563703383547463,0.419656223698234,23.6087301761385,33.650001525878906
77,2009-12-04,0.2023729647661262,0.3819342394398331,23.80579366002764,45.790000915527344
78,2010-01-06,0.20602646204447586,0.3819342394398331,23.828769854136876,45.790000915527344
79,2010-02-05,0.20628308342891966,0.3819342394398331,23.707499984710935,45.790000915527344
80,2010-03-09,0.20757264698872394,0.3819342394398331,23.63595235536969,45.790000915527344
81,2010-04-08,0.20830988200584,0.3819342394398331,23.438214252865503,45.790000915527344
82,2010-05-07,0.20186497578810977,0.3819342394398331,23.09956343590267,45.790000915527344
83,2010-06-08,0.19325372005899055,0.3819342394398331,22.84253964726887,45.790000915527344
84,2010-07-08,0.19136603826326712,0.3819342394398331,22.531428533887105,45.790000915527344
85,2010-08-06,0.18739891697258895,0.3819342394398331,22.207460282340882,45.790000915527344
86,2010-09-07,0.18273367939830124,0.3819342394398331,21.93757932905167,45.790000915527344
87,2010-10-06,0.18870456303787578,0.3819342394398331,22.190952331300767,45.790000915527344
88,2010-11-04,0.18637559829744998,0.3819342394398331,21.954404724968803,45.790000915527344
89,2010-12-06,0.16820422009111144,0.35429285641731895,20.589047579538253,34.540000915527344
90,2011-01-05,0.15615613652867724,0.2809870607570787,19.74142853418986,29.399999618530277
91,2011-02-04,0.14943968090286375,0.2502167302791742,19.477222207992796,31.65999984741211
92,2011-03-08,0.17303128173129723,0.5771087597465476,20.445753945244682,48.0
93,2011-04-06,0.1864467438937951,0.5771087597465476,21.69730155430143,48.0
94,2011-05-06,0.20565370643011158,0.5771087597465476,22.679999994853187,48.0
95,2011-06-07,0.22164242529917558,0.5771087597465476,23.633928541153196,48.0
96,2011-07-07,0.2351279375416698,0.5771087597465476,24.243055513926915,48.0
97,2011-08-05,0.23960343199876757,0.5771087597465476,24.441706313027275,48.0
98,2011-09-06,0.23723016034074393,0.5771087597465476,24.476111082803634,48.0
99,2011-10-05,0.23350420397367874,0.5771087597465476,24.084007933026268,48.0
100,2011-11-03,0.23750233546986343,0.5771087597465476,24.23567457804604,48.0
101,2011-12-05,0.24016002375255946,0.5771087597465476,24.66940474510193,48.0
102,2012-01-05,0.2448279736910999,0.5771087597465476,24.75051582427252,48.0
103,2012-02-06,0.24540220935067464,0.5771087597465476,24.47396821824331,48.0
104,2012-03-07,0.21512908488529328,0.46118117501728634,22.72297616232009,45.45000076293945
105,2012-04-05,0.19420821433155022,0.40071840047213225,20.866746013126676,37.810001373291016
106,2012-05-07,0.17275800262089022,0.3596799903125543,19.582579344037978,36.15999984741211
107,2012-06-06,0.15783479284486301,0.3210986053715252,18.352658722135757,30.59000015258789
108,2012-07-06,0.14278277346491947,0.23835168726563716,17.7039285614377,26.65999984741211
109,2012-08-06,0.13997446544132527,0.23835168726563716,17.181904758725846,26.65999984741211
110,2012-09-05,0.14012892684450204,0.23835168726563716,16.810714278902328,26.65999984741211
111,2012-10-04,0.13853457430763527,0.23835168726563716,16.584761888261827,26.65999984741211
112,2012-11-06,0.13907393864937098,0.23835168726563716,16.239642854720827,26.65999984741211
113,2012-12-06,0.13672757955430787,0.23835168726563716,15.56623014949617,24.270000457763672
114,2013-01-08,0.13234590603727012,0.20446395954271016,15.325714292980376,22.71999931335449
115,2013-02-07,0.12695633743258622,0.19020482772496533,14.955833336663625,22.71999931335449
116,2013-03-11,0.12439898276971675,0.19020482772496533,14.906626996539888,22.71999931335449
117,2013-04-10,0.12443257018510567,0.19020482772496533,14.889960330630105,22.71999931335449
118,2013-05-09,0.12615094228256393,0.19020482772496533,14.734642857596988,22.71999931335449
119,2013-06-10,0.12215926588932698,0.19020482772496533,14.454087295229472,22.71999931335449
120,2013-07-10,0.12150560287527773,0.19020482772496533,14.220595238700746,20.489999771118164
121,2013-08-08,0.12195805044628372,0.19020482772496533,14.382817468945943,21.440000534057617
122,2013-09-09,0.12483751755496901,0.19020482772496533,14.414563500691974,21.440000534057617
123,2013-10-08,0.12381406361230814,0.19020482772496533,14.55753969767737,21.440000534057617
124,2013-11-06,0.12182224100433701,0.19020482772496533,14.566706369793604,21.440000534057617
