window_idx,mid_date,wj_unsigned,wj_signed,binary_jaccard,type1_gap,type2_gap,sign_inversion_pct
74,2009-09-04,0.7808808892943465,0.9346859318005621,0.1788594675612019,0.6020214217331445,0.15380504250621563,70.19243643829161
75,2009-10-06,0.8019435481480143,0.9430443344971916,0.22365697387875802,0.5782865742692562,0.14110078634917733,71.24271137333447
76,2009-11-04,0.800753106931726,0.942116838851821,0.21739334932505527,0.5833597576066707,0.141363731920095,70.94902698013726
77,2009-12-04,0.7759214452484864,0.9324015346889823,0.1709098285830206,0.6050116166654658,0.15648008944049596,69.83269309908782
78,2010-01-06,0.7588340135805461,0.9258594477797559,0.15176230702009905,0.6070717065604471,0.1670254341992098,69.25745901360514
79,2010-02-05,0.7405622411166954,0.9184795190454171,0.13169059247200435,0.6088716486446911,0.1779172779287217,68.57801990524791
80,2010-03-09,0.7218192586179736,0.9107997959274832,0.1174342532819202,0.6043850053360533,0.1889805373095096,67.93444304254767
81,2010-04-08,0.7164665531994022,0.9084899561218726,0.11495094450139112,0.6015156086980111,0.19202340292247033,67.7251326392952
82,2010-05-07,0.7368966748201388,0.9168098291544342,0.13037441231638694,0.6065222625037519,0.17991315433429544,68.38117846336765
83,2010-06-08,0.7351216310246957,0.9160450021701527,0.12880428316478287,0.6063173478599129,0.18092337114545698,68.30432090221954
84,2010-07-08,0.740514505610666,0.9181953846852838,0.13361133043821555,0.6069031751724505,0.17768087907461783,68.47430122934891
85,2010-08-06,0.7605835730192364,0.9260303740638796,0.15222269563982388,0.6083608773794125,0.16544680104464315,69.1041977073429
86,2010-09-07,0.755312822127226,0.9240242529387319,0.14508242712480296,0.610230395002423,0.16871143081150597,68.94984538144784
87,2010-10-06,0.7383217082702401,0.9173826704944705,0.13189305323466222,0.606428655035578,0.1790609622242304,68.42790093155685
88,2010-11-04,0.7590023441531194,0.9256198484023095,0.15361104822277563,0.6053912959303438,0.16661750424919008,69.136566355256
89,2010-12-06,0.7994964360394927,0.9408295453066711,0.20576399333360432,0.5937324427058884,0.14133310926717835,70.48907584257026
90,2011-01-05,0.8064079214101473,0.9434315113119027,0.21685951867658057,0.5895484027335667,0.13702358990175545,70.77954371886042
91,2011-02-04,0.8011368707096206,0.941417480026083,0.20815873798373183,0.5929781327258887,0.14028060931646247,70.54128626912288
92,2011-03-08,0.7628766839779431,0.9270994806466484,0.15986851934857313,0.6030081646293699,0.16422279666870532,69.25628378671522
93,2011-04-06,0.7158640345265904,0.9083530327941665,0.11627325569282694,0.5995907788337634,0.19248899826757604,67.74538307632506
94,2011-05-06,0.6651175235819614,0.8862739736140873,0.08770303058401718,0.5774144929979442,0.22115645003212592,66.04001869481316
95,2011-06-07,0.6449819414218583,0.8769382214759175,0.07951861118488182,0.5654633302369765,0.23195628005405922,65.33647358194996
96,2011-07-07,0.6216968958042803,0.8656349300677942,0.07227876050046951,0.5494181353038108,0.2439380342635139,64.48216563861703
97,2011-08-05,0.6241039870269197,0.8668337823101475,0.07283540094641258,0.5512685860805071,0.2427297952832278,64.57365518814665
98,2011-09-06,0.6303949831417932,0.8698997052944059,0.07478685811121474,0.5556081250305784,0.23950472215261265,64.80018160697611
99,2011-10-05,0.6332061959327903,0.8711969575256502,0.07589953021567371,0.5573066657171165,0.23799076159285992,64.88407354592378
100,2011-11-03,0.618718548691127,0.864061035249918,0.07149221328447551,0.5472263354066514,0.24534248655879098,64.34681931590767
101,2011-12-05,0.6187779417483238,0.864106383113124,0.0715514967276747,0.5472264450206491,0.24532844136480025,64.35316006893773
102,2012-01-05,0.614943992512498,0.8621600224275805,0.07074382217807028,0.5442001703344277,0.2472160299150825,64.2026160111543
103,2012-02-06,0.6277483488464191,0.8684815663844345,0.07497695245620967,0.5527713963902094,0.24073321753801546,64.66948280605355
104,2012-03-07,0.6897765385150405,0.8970155164870118,0.10086146931349992,0.5889150692015406,0.20723897797197133,66.80312861573135
105,2012-04-05,0.7476403327016329,0.9208468548008781,0.13708035998921014,0.6105599727124227,0.17320652209924525,68.63478778265372
106,2012-05-07,0.8013378671484481,0.9409493643724524,0.1948798138114113,0.6064580533370368,0.13961149722400423,70.27584734949332
107,2012-06-06,0.8309949283651782,0.9518052633172145,0.25194792137937966,0.5790470069857985,0.1208103349520363,71.48326010776623
108,2012-07-06,0.8408804724169477,0.9555120278075797,0.29548929663608564,0.545391175780862,0.11463155539063197,72.04116121498674
109,2012-08-06,0.8372918653884855,0.9543563500405499,0.2921467935871743,0.5451450718013112,0.11706448465206432,71.94753042407504
110,2012-09-05,0.8302062399476949,0.9519044084455828,0.2704886281888108,0.5597176117588841,0.12169816849788784,71.67411126321642
111,2012-10-04,0.8319079201220265,0.9526354704642569,0.2825311942959002,0.5493767258261264,0.12072755034223037,71.82227171552199
112,2012-11-06,0.8349250918292899,0.9537692925258638,0.2947500785916379,0.5401750132376519,0.11884420069657398,71.99410377600982
113,2012-12-06,0.8324630807778431,0.9532926378920549,0.31391316410043,0.5185499166774131,0.12082955711421173,72.12115256458169
114,2013-01-08,0.8319775801342897,0.9533017635415716,0.3321197711568467,0.499857808977443,0.1213241834072819,72.20713968067395
115,2013-02-07,0.8357865137955975,0.9552049025725632,0.3767589227471811,0.45902759104841645,0.11941838877696564,72.72142595421259
116,2013-03-11,0.8366524496612117,0.9548535485512918,0.3512128732687535,0.48543957639245816,0.11820109889008013,72.36172115524661
117,2013-04-10,0.8316130259267855,0.953034013768513,0.3421072651198174,0.4895057608069681,0.1214209878417275,72.108302028715
118,2013-05-09,0.8302341690641166,0.9524583682835587,0.32852729145211124,0.5017068776120054,0.12222419921944205,71.99575942087151
119,2013-06-10,0.8301409744997944,0.9527855912067009,0.3390942550808129,0.4910467194189815,0.12264461670690652,72.20376800451976
120,2013-07-10,0.8313725066328234,0.953505466224706,0.3497973657548126,0.4815751408780108,0.12213295959188264,72.42766713370112
121,2013-08-08,0.8296656551669075,0.9521315642554876,0.30732796535624873,0.5223376898106588,0.12246590908858013,71.8973670333967
122,2013-09-09,0.8294876013240191,0.9523672975261892,0.32289889474074623,0.5065887065832728,0.1228796962021701,72.06496252256373
123,2013-10-08,0.8305702433158817,0.9525145824445902,0.3110473065354115,0.5195229367804701,0.1219443391287085,71.97338974880266
124,2013-11-06,0.8334366700842984,0.9540429646237557,0.34918971216641137,0.4842469579178871,0.12060629453945726,72.40867158485402
125,2013-12-06,0.8320882697218817,0.9542569229753204,0.3699991129246873,0.46208915679719437,0.12216865325343873,72.75766442945131
126,2014-01-08,0.8130772724716915,0.9500148442559992,0.4024229074889868,0.4106543649827047,0.13693757178430777,73.25892019394445
127,2014-02-07,0.81660907054781,0.9506078239411805,0.38985074626865673,0.4267583242791532,0.13399875339337053,73.06727426140449
128,2014-03-11,0.810302978511127,0.9492299225129299,0.40743626850718023,0.40286671000394675,0.13892694400180294,73.23622844017713
129,2014-04-09,0.8144652023490252,0.9499212362910403,0.3816823899371069,0.4327828124119183,0.1354560339420151,73.00842518869851
130,2014-05-09,0.8173854666549547,0.9502601270427374,0.3664518289110237,0.450933637743931,0.13287466038778273,72.76236888370741
131,2014-06-10,0.8130290019594216,0.9493838927985436,0.39968182668912594,0.4133471752702957,0.136354890839122,72.92836443517773
132,2014-07-10,0.8183548023107586,0.9501592635237238,0.36323851203501095,0.4551162902757477,0.13180446121296518,72.56148959052376
133,2014-08-08,0.8129445175780092,0.9483342564573907,0.3469851271155396,0.46595939046246965,0.13538973887938144,72.37945508271541
134,2014-09-09,0.809185346711605,0.9470386458662775,0.3333333333333333,0.4758520133782717,0.13785329915467248,72.24460846113462
135,2014-10-08,0.8177450956346385,0.9495728297273606,0.32859642982149107,0.4891486658131474,0.13182773409272208,72.33151533110492
136,2014-11-06,0.8184001281613916,0.9496783559063772,0.3195041205888568,0.4988960075725348,0.13127822774498554,72.2898240047522
137,2014-12-08,0.8161839450480839,0.9490113150659198,0.3130447105505562,0.5031392344975276,0.13282737001783596,72.2610274997915
138,2015-01-08,0.8139673815443198,0.9476281211107551,0.27808161548169963,0.5358857660626202,0.13366073956643532,71.84801282484673
139,2015-02-09,0.810937519389583,0.9469308226529396,0.27823179791976227,0.5327057214698208,0.13599330326335657,71.93034959886356
140,2015-03-11,0.7859889962224551,0.9368165591302917,0.19055506478209658,0.5954339314403585,0.1508275629078366,70.47654571286218
141,2015-04-10,0.7838975938835949,0.9358268789322401,0.1844718521398028,0.5994257417437922,0.15192928504864522,70.30430053000309
142,2015-05-11,0.8010954638526095,0.9424029602209131,0.21670320035072338,0.5843922635018861,0.14130749636830353,71.04287267917968
143,2015-06-10,0.7863338272274536,0.9368081808428761,0.1855765323087154,0.6007572949187382,0.1504743536154225,70.42497727312532
144,2015-07-10,0.7813619220718951,0.9350122331585163,0.17342311392057166,0.6079388081513235,0.1536503110866212,70.2760985381267
145,2015-08-10,0.7824956378343603,0.9353005238321955,0.17293873241834962,0.6095569054160106,0.15280488599783526,70.25371099521544
146,2015-09-09,0.7796873797401312,0.9339075563898345,0.16821558349680032,0.6114717962433309,0.15422017664970322,70.00060934675169
147,2015-10-08,0.7867725020917563,0.9364952186660718,0.1767402663070959,0.6100322357846604,0.14972271657431546,70.21735847538028
148,2015-11-06,0.7918249773413052,0.9384013795344114,0.18396700516410772,0.6078579721771975,0.1465764021931062,70.41017712937627
149,2015-12-08,0.788594322746618,0.9372835553733538,0.1801212778210644,0.6084730449255535,0.14868923262673583,70.33360435657701
150,2016-01-08,0.7745976724126983,0.9322314883508388,0.16332455405243626,0.611273118360262,0.15763381593814052,69.93442242830726
151,2016-02-09,0.7778267815426887,0.9335328668297033,0.1672407430188215,0.6105860385238672,0.15570608528701457,70.08319291054973
152,2016-03-10,0.8069067587890296,0.9448687756496982,0.24120053272450534,0.5657062260645243,0.13796201686066856,71.44839249444968
153,2016-04-11,0.8063937189516606,0.9448173956332142,0.24533541189652652,0.561058307055134,0.13842367668155364,71.49751337199238
154,2016-05-10,0.8100618083671237,0.9458734900982829,0.25016241067412925,0.5598993976929945,0.1358116817311592,71.5030929607164
155,2016-06-09,0.8108407711475121,0.9465145059105627,0.2983895847473314,0.5124511864001806,0.13567373476305067,71.72461824152029
156,2016-07-11,0.8070957911387087,0.9461253975849702,0.36255845023380096,0.4445373409049077,0.1390296064462615,72.07183672505113
157,2016-08-09,0.778038451688181,0.9386095155082167,0.41786144248659296,0.360177009201588,0.16057106382003572,72.3418380531659
158,2016-09-08,0.7520349224271634,0.9317971218842918,0.4310828958613112,0.3209520265658522,0.17976219945712835,72.4949663140873
